日付,時間,ユーザー,ステータス,メッセージ,合計稼働時間,月次稼働時間,,,,,,,,,
2024/10/16,16:23,theoj246,開始,開始,,,,,,,14:05,theoj246,開始,,
2024/10/16,18:55,theoj246,終了,終了,,,,,,,14:34,theoj246,終了,0:29,
2024/10/16,22:19,theoj246,開始,開始,,,,,,,15:24,theoj246,開始,,
2024/10/16,22:22,osaryo523778,開始,開始,,,,,,,16:17,theoj246,終了,0:53,
2024/10/16,23:29,theoj246,終了,終了,,,,,,,17:19,theoj246,開始,,
2024/10/17,1:18,osaryo523778,終了,終了,,,,,,,20:17,theoj246,終了,2:58,
2024/10/17,8:58,theoj246,開始,開始,,,,,,,9:11,theoj246,開始,,
2024/10/17,9:43,theoj246,終了,終了,,,,,,,10:10,theoj246,終了,0:59,
2024/10/17,10:45,osaryo523778,開始,開始,,,,,,,13:12,theoj246,開始,,
2024/10/17,11:47,osaryo523778,終了,終了,,,,,,,15:27,theoj246,終了,2:15,
2024/10/17,14:05,theoj246,開始,開始,,,,,,,16:00,theoj246,開始,,
2024/10/17,14:34,theoj246,終了,終了,,,,,,,19:08,theoj246,終了,3:08,
2024/10/17,15:24,theoj246,開始,開始,,,,,,,14:21,theoj246,開始,,
2024/10/17,16:17,theoj246,終了,終了,,,,,,,16:31,theoj246,終了,2:10,
2024/10/17,17:19,theoj246,開始,開始,,,,,,,17:42,theoj246,開始,,
2024/10/17,20:17,theoj246,終了,終了,,,,,,,19:47,theoj246,終了,2:05,
2024/10/17,23:33,osaryo523778,開始,開始,,,,,,,9:53,theoj246,開始,,
2024/10/18,0:00,osaryo523778,終了,終了,,,,,,,10:42,theoj246,終了,0:49,
2024/10/18,9:11,theoj246,開始,開始,,,,,,,12:20,theoj246,開始,,
2024/10/18,10:10,theoj246,終了,終了,,,,,,,14:39,theoj246,終了,2:19,
2024/10/18,13:12,theoj246,開始,開始,,,,,,,15:17,theoj246,開始,,
2024/10/18,15:27,theoj246,終了,終了,,,,,,,17:15,theoj246,終了,1:58,
2024/10/18,16:00,theoj246,開始,開始,,,,,,,18:19,theoj246,開始,,
2024/10/18,19:08,theoj246,終了,終了,,,,,,,18:33,theoj246,終了,0:14,
2024/10/19,14:21,theoj246,開始,開始,,,,,,,19:17,theoj246,開始,,
2024/10/19,16:31,theoj246,終了,終了,,,,,,,20:46,theoj246,終了,1:29,
2024/10/19,17:40,osaryo523778,開始,開始,,,,,,,13:02,theoj246,開始,,
2024/10/19,20:00,osaryo523778,終了,終了,,,,,,,16:13,theoj246,終了,3:11,
2024/10/19,17:42,theoj246,開始,開始,,,,,,,17:48,theoj246,開始,,
2024/10/19,19:47,theoj246,終了,終了,,,,,,,19:26,theoj246,終了,1:38,
2024/10/20,9:53,theoj246,開始,開始,,,,,,,20:22,theoj246,開始,,
2024/10/20,10:42,theoj246,終了,終了,,,,,,,23:17,theoj246,終了,2:55,
2024/10/20,12:20,theoj246,開始,開始,,,,,,,16:40,theoj246,開始,,
2024/10/20,14:39,theoj246,終了,終了,,,,,,,17:00,theoj246,終了,0:20,
2024/10/20,15:17,theoj246,開始,開始,,,,,,,20:04,theoj246,開始,,
2024/10/20,17:15,theoj246,終了,終了,,,,,,,20:34,theoj246,終了,0:30,
2024/10/20,18:19,theoj246,開始,開始,,,,,,,8:43,theoj246,開始,,
2024/10/20,18:33,theoj246,終了,終了,,,,,,,9:40,theoj246,終了,0:57,
2024/10/20,19:17,theoj246,開始,開始,,,,,,,11:37,theoj246,開始,,
2024/10/20,19:27,ryo4ryo4n66,開始,開始,,,,,,,13:50,theoj246,終了,2:13,
2024/10/20,20:46,theoj246,終了,終了,,,,,,,15:47,theoj246,開始,,
2024/10/20,20:47,ryo4ryo4n66,終了,終了,,,,,,,17:16,theoj246,終了,1:29,
2024/10/20,23:44,osaryo523778,開始,開始,,,,,,,10:08,theoj246,開始,,
2024/10/21,1:10,osaryo523778,終了,終了,,,,,,,10:48,theoj246,終了,0:40,
2024/10/21,10:03,ryo4ryo4n66,開始,開始,,,,,,,13:22,theoj246,開始,,
2024/10/21,11:23,ryo4ryo4n66,終了,終了,,,,,,,15:38,theoj246,終了,2:16,
2024/10/21,13:02,theoj246,開始,開始,,,,,,,16:37,theoj246,開始,,
2024/10/21,8:03,osaryo523778,開始,開始,,,,,,,17:37,theoj246,終了,1:00,
2024/10/21,10:03,osaryo523778,終了,終了,,,,,,,18:21,theoj246,開始,,
2024/10/21,14:19,ryo4ryo4n66,開始,開始,,,,,,,18:48,theoj246,終了,0:27,
2024/10/21,16:13,theoj246,終了,終了,,,,,,,19:09,theoj246,s,,
2024/10/21,16:16,ryo4ryo4n66,終了,終了,,,,,,,19:09,theoj246,f,0:00,
2024/10/21,17:48,theoj246,開始,開始,,,,,,,20:53,theoj246,s,,
2024/10/21,19:26,theoj246,終了,終了,,,,,,,22:51,theoj246,f,1:58,
2024/10/21,20:22,theoj246,開始,開始,,,,,,,14:41,theoj246,s,,
2024/10/21,21:31,osaryo523778,開始,開始,,,,,,,18:19,theoj246,f,3:38,
2024/10/21,23:17,theoj246,終了,終了,,,,,,,19:02,theoj246,s,,
2024/10/21,22:51,osaryo523778,終了,終了,,,,,,,20:03,theoj246,f,1:01,
2024/10/22,16:40,theoj246,開始,開始,,,,,,,21:38,theoj246,s,,
2024/10/22,17:00,theoj246,終了,終了,,,,,,,23:53,theoj246,f,2:15,
2024/10/22,20:04,theoj246,開始,開始,,,,,,,0:24,theoj246,s,,
2024/10/22,20:05,ryo4ryo4n66,開始,開始,,,,,,,1:30,theoj246,f,1:06,
2024/10/22,20:08,osaryo523778,開始,開始,,,,,,,10:49,theoj246,s,,
2024/10/22,20:34,theoj246,終了,終了,,,,,,,11:24,theoj246,f,0:35,
2024/10/22,20:42,ryo4ryo4n66,終了,終了,,,,,,,12:28,theoj246,s,,
2024/10/22,21:04,osaryo523778,終了,終了,,,,,,,14:55,theoj246,f,2:27,
2024/10/23,8:43,theoj246,開始,開始,,,,,,,18:35,theoj246,s,,
2024/10/23,9:40,theoj246,終了,終了,,,,,,,22:22,theoj246,f,3:47,
2024/10/23,11:37,theoj246,開始,開始,,,,,,,0:17,theoj246,s,,
2024/10/23,13:50,theoj246,終了,終了,,,,,,,1:34,theoj246,f,1:17,
2024/10/23,15:47,theoj246,開始,開始,,,,,,,11:48,theoj246,s,,
2024/10/23,17:16,theoj246,終了,終了,,,,,,,14:44,theoj246,f,2:56,
2024/10/24,10:08,theoj246,開始,開始,,,,,,,15:08,theoj246,s,,
2024/10/24,10:48,theoj246,終了,終了,,,,,,,15:41,theoj246,f,0:33,
2024/10/24,13:22,theoj246,開始,開始,,,,,,,17:10,theoj246,s,,
2024/10/24,15:38,theoj246,終了,終了,,,,,,,18:59,theoj246,f,1:49,
2024/10/25,16:37,theoj246,開始,開始,,,,,,,10:28,theoj246,s,,
2024/10/25,17:37,theoj246,終了,終了,,,,,,,10:35,theoj246,f,0:07,
2024/10/25,18:21,theoj246,開始,開始,,,,,,,17:02,theoj246,s,,
2024/10/25,18:48,theoj246,終了,終了,,,,,,,17:56,theoj246,f,0:54,
2024/10/25,19:09,theoj246,s,s,,,,,,,18:26,theoj246,s,,
2024/10/25,19:09,theoj246,f,f,,,,,,,20:37,theoj246,f,2:11,
2024/10/25,20:53,theoj246,s,s,,,,,,,12:42,theoj246,s,,
2024/10/25,22:51,theoj246,f,f,,,,,,,13:55,theoj246,f,1:13,
2024/10/26,2:53,osaryo523778,s,s,,,,,,,14:31,theoj246,s,,
2024/10/26,4:53,osaryo523778,f,f,,,,,,,16:17,theoj246,f,,
2024/10/26,14:41,theoj246,s,s,,,,,,,11:45,theoj246,s,21:14,
2024/10/26,18:19,theoj246,f,f,,,,,,,12:35,theoj246,f,,
2024/10/26,19:02,theoj246,s,s,,,,,,,15:03,theoj246,s,2:28,
2024/10/26,20:03,theoj246,f,f,,,,,,,17:36,theoj246,f,,
2024/10/26,21:38,theoj246,s,s,,,,,,,18:34,theoj246,s,0:58,
2024/10/26,23:53,theoj246,f,f,,,,,,,19:20,theoj246,f,,
2024/10/27,0:24,theoj246,s,s,,,,,,,,,,4:40,
2024/10/27,1:30,theoj246,f,f,,,,,,,,,,,
2024/10/27,10:49,theoj246,s,s,,,,,,,16:20,theoj246,s,,
2024/10/27,11:24,theoj246,f,f,,,,,,,17:21,theoj246,f,1:01,
2024/10/27,12:28,theoj246,s,s,,,,,,,18:26,theoj246,s,,
2024/10/27,14:55,theoj246,f,f,,,,,,,19:29,theoj246,f,1:03,
2024/10/27,18:35,theoj246,s,s,,,,,,,10:27,theoj246,s,,
2024/10/27,22:22,theoj246,f,f,,,,,,,12:33,theoj246,f,2:06,
2024/10/28,0:17,theoj246,s,s,,,,,,,13:53,theoj246,s,,
2024/10/28,1:34,theoj246,f,f,,,,,,,17:22,theoj246,f,3:29,
2024/10/28,11:48,theoj246,s,s,,,,,,,18:06,theoj246,s,,
2024/10/28,14:44,theoj246,f,f,,,,,,,19:22,theoj246,f,1:16,
2024/10/28,15:08,theoj246,s,s,,,,,,,21:30,theoj246,s,,
2024/10/28,15:41,theoj246,f,f,,,,,,,22:41,theoj246,f,1:11,
2024/10/28,16:08,ryo4ryo4n66,s,s,,,,,,,23:05,theoj246,s,,
2024/10/28,16:53,ryo4ryo4n66,f,f,,,,,,,23:44,theoj246,f,0:39,
2024/10/28,17:10,theoj246,s,s,,,,,,,0:02,theoj246,s,,
2024/10/28,18:59,theoj246,f,f,,,,,,,0:18,theoj246,f,0:16,
2024/10/28,22:57,ryo4ryo4n66,s,s,,,,,,,10:20,theoj246,s,,
2024/10/29,0:57,ryo4ryo4n66,f,f,,,,,,,12:22,theoj246,f,2:02,
2024/10/29,10:28,theoj246,s,s,,,,,,,19:28,theoj246,s,,
2024/10/29,10:35,theoj246,f,f,,,,,,,21:03,theoj246,f,1:35,
2024/10/29,17:02,theoj246,s,s,,,,,,,11:11,theoj246,s,,
2024/10/29,17:56,theoj246,f,f,,,,,,,12:24,theoj246,f,1:13,
2024/10/29,18:26,theoj246,s,s,,,,,,,15:03,theoj246,s,,
2024/10/29,19:15,osaryo523778,s,s,,,,,,,16:01,theoj246,f,0:58,
2024/10/29,20:37,theoj246,f,f,,,,,,,16:24,theoj246,s,,
2024/10/29,21:27,osaryo523778,f,f,,,,,,,18:10,theoj246,f,1:46,
2024/10/30,12:42,theoj246,s,s,,,,,,,20:11,theoj246,s,,
2024/10/30,13:55,theoj246,f,f,,,,,,,0:51,theoj246,f,4:40,
2024/10/30,14:31,theoj246,s,s,,,,,,,11:01,theoj246,s,,
2024/10/30,16:17,theoj246,f,f,,,,,,,11:40,theoj246,f,0:39,
2024/10/30,21:27,osaryo523778,s,s,,,,,,,19:12,theoj246,s,,
2024/10/30,22:54,osaryo523778,f,f,,,,,,,19:55,theoj246,f,0:43,
2024/10/31,11:45,theoj246,s,s,,,,,,,11:09,theoj246,s,,
2024/10/31,12:35,theoj246,f,f,,,,,,,12:43,theoj246,f,1:34,
2024/10/31,15:03,theoj246,s,s,,,,,,,14:10,theoj246,s,,
2024/10/31,17:36,theoj246,f,f,,,,,,,17:16,theoj246,f,3:06,
2024/10/31,18:03,info,f,f,,,,,,,22:04,theoj246,s,,
2024/10/31,18:34,theoj246,s,s,,,,,,,1:26,theoj246,f,3:22,
2024/10/31,19:20,theoj246,f,f,,,,,,,11:38,theoj246,s,,
2024/11/01,16:20,theoj246,s,s,,,,,,,13:15,theoj246,f,1:37,
2024/11/01,17:21,theoj246,f,f,,,,,,,14:11,theoj246,s,,
2024/11/01,18:26,theoj246,s,s,,,,,,,16:35,theoj246,f,2:24,
2024/11/01,19:29,theoj246,f,f,,,,,,,21:24,theoj246,s,,
2024/11/02,13:59,ryo4ryo4n66,s,s,,,,,,,23:55,theoj246,f,2:31,
2024/11/03,10:27,theoj246,s,s,,,,,,,12:35,theoj246,s,,
2024/11/03,12:33,theoj246,f,f,,,,,,,16:22,theoj246,f,3:47,
2024/11/03,13:17,osaryo523778,s,s,,,,,,,18:53,theoj246,s,,
2024/11/03,13:53,theoj246,s,s,,,,,,,20:23,theoj246,f,1:30,
2024/11/03,15:25,osaryo523778,f,f,,,,,,,21:45,theoj246,s,,
2024/11/03,15:36,ryo4ryo4n66,f,f 11/2 16:00,,,,,,,22:38,theoj246,f,0:53,
2024/11/03,17:22,theoj246,f,f,,,,,,,12:12,theoj246,s,,
2024/11/03,18:06,theoj246,s,s,,,,,,,14:26,theoj246,f,2:14,
2024/11/03,19:22,theoj246,f,f,,,,,,,16:09,theoj246,s,,
2024/11/03,21:30,theoj246,s,s,,,,,,,17:21,theoj246,f,1:12,
2024/11/03,22:41,theoj246,f,f,,,,,,,19:59,theoj246,s,,
2024/11/03,23:05,theoj246,s,s,,,,,,,21:28,theoj246,f,1:29,
2024/11/03,23:44,theoj246,f,f,,,,,,,10:44,theoj246,s,,
2024/11/04,0:02,theoj246,s,s,,,,,,,11:27,theoj246,f,0:43,
2024/11/04,0:18,theoj246,f,f,,,,,,,12:03,theoj246,s,,
2024/11/04,10:20,theoj246,s,s,,,,,,,14:54,theoj246,f,2:51,
2024/11/04,12:22,theoj246,f,f,,,,,,,16:17,theoj246,s,,
2024/11/05,19:04,osaryo523778,s,s,,,,,,,18:22,theoj246,f,2:05,
2024/11/05,19:28,theoj246,s,s,,,,,,,14:38,theoj246,s,,
2024/11/05,21:03,theoj246,f,f,,,,,,,20:58,theoj246,f,6:20,
2024/11/05,21:07,osaryo523778,f,f,,,,,,,13:30,theoj246,s,,
2024/11/06,11:11,theoj246,s,s,,,,,,,17:43,theoj246,f,4:13,
2024/11/06,12:24,theoj246,f,f,,,,,,,18:12,theoj246,s,,
2024/11/07,15:03,theoj246,s,s,,,,,,,19:22,theoj246,f,1:10,
2024/11/07,16:01,theoj246,f,f,,,,,,,20:53,theoj246,s,,
2024/11/07,16:24,theoj246,s,s,,,,,,,23:43,theoj246,f,2:50,
2024/11/07,18:10,theoj246,f,f,,,,,,,0:13,theoj246,s,,
2024/11/07,20:11,theoj246,s,s,,,,,,,0:41,theoj246,f,0:28,
2024/11/08,0:51,theoj246,f,f,,,,,,,11:10,theoj246,s,,
2024/11/08,11:01,theoj246,s,s,,,,,,,14:17,theoj246,f,3:07,
2024/11/08,11:40,theoj246,f,f,,,,,,,16:02,theoj246,s,,
2024/11/08,19:12,theoj246,s,s,,,,,,,19:43,theoj246,f,3:41,
2024/11/08,19:55,theoj246,f,f,,,,,,,11:30,theoj246,s,,
2024/11/09,11:09,theoj246,s,s,,,,,,,13:28,theoj246,f,1:58,
2024/11/09,12:43,theoj246,f,f,,,,,,,15:18,theoj246,s,,
2024/11/09,14:10,theoj246,s,s,,,,,,,16:37,theoj246,f,1:19,
2024/11/09,17:16,theoj246,f,f,,,,,,,17:13,theoj246,s,,
2024/11/09,22:04,theoj246,s,s,,,,,,,18:14,theoj246,f,1:01,
2024/11/10,1:26,theoj246,f,f,,,,,,,19:40,theoj246,s,,
2024/11/10,11:38,theoj246,s,s,,,,,,,21:03,theoj246,f,1:23,
2024/11/10,13:15,theoj246,f,f,,,,,,,10:59,theoj246,s,,
2024/11/10,14:11,theoj246,s,s,,,,,,,13:38,theoj246,f,2:39,
2024/11/10,16:35,theoj246,f,f,,,,,,,18:40,theoj246,s,,
2024/11/10,21:24,theoj246,s,s,,,,,,,19:35,theoj246,f,0:55,
2024/11/10,23:55,theoj246,f,f,,,,,,,21:59,theoj246,s,,
2024/11/11,12:35,theoj246,s,s,,,,,,,0:49,theoj246,f,2:50,
2024/11/11,16:22,theoj246,f,f,,,,,,,14:55,theoj246,s,,
2024/11/11,18:53,theoj246,s,s,,,,,,,16:13,theoj246,f,1:18,
2024/11/11,20:23,theoj246,f,f,,,,,,,11:54,theoj246,s,,
2024/11/11,21:45,theoj246,s,s,,,,,,,18:10,theoj246,f,6:16,
2024/11/11,22:09,ryo4ryo4n66,s,s,,,,,,,23:39,theoj246,s,,
2024/11/11,22:38,theoj246,f,f,,,,,,,2:08,theoj246,f,2:29,
2024/11/12,0:15,ryo4ryo4n66,f,f,,,,,,,12:55,theoj246,s,,
2024/11/12,12:12,theoj246,s,s,,,,,,,14:09,theoj246,f,1:14,
2024/11/12,13:26,ryo4ryo4n66,s,s,,,,,,,16:33,theoj246,s,,
2024/11/12,14:26,theoj246,f,f,,,,,,,18:13,theoj246,f,1:40,
2024/11/12,14:36,ryo4ryo4n66,f,f,,,,,,,19:07,theoj246,s,,
2024/11/12,16:09,theoj246,s,s,,,,,,,19:56,theoj246,f,0:49,
2024/11/12,17:21,theoj246,f,f,,,,,,,23:14,theoj246,s,,
2024/11/12,19:59,theoj246,s,s,,,,,,,1:11,theoj246,f,1:57,
2024/11/12,20:00,ryo4ryo4n66,s,s,,,,,,,12:16,theoj246,s,,
2024/11/12,20:08,osaryo523778,s,s,,,,,,,13:51,theoj246,f,1:35,
2024/11/12,21:11,osaryo523778,f,f,,,,,,,14:41,theoj246,s,,
2024/11/12,21:28,theoj246,f,f,,,,,,,18:18,theoj246,f,3:37,
2024/11/13,10:44,theoj246,s,s,,,,,,,19:01,theoj246,s,,
2024/11/13,11:27,theoj246,f,f,,,,,,,20:19,theoj246,f,1:18,
2024/11/13,12:03,theoj246,s,s,,,,,,,13:24,theoj246,s,,
2024/11/13,14:54,theoj246,f,f,,,,,,,19:07,theoj246,f,5:43,
2024/11/13,16:17,theoj246,s,s,,,,,,,19:44,theoj246,s,,
2024/11/13,18:22,theoj246,f,f,,,,,,,21:11,theoj246,f,1:27,
2024/11/14,14:38,theoj246,s,s,,,,,,,13:27,theoj246,s,,
2024/11/14,20:58,theoj246,f,f 17:00,,,,,,,14:47,theoj246,f,1:20,
2024/11/15,13:30,theoj246,s,s,,,,,,,17:30,theoj246,s,,
2024/11/15,17:43,theoj246,f,f,,,,,,,18:21,theoj246,f,0:51,
2024/11/15,18:12,theoj246,s,s,,,,,,,18:48,theoj246,s,,
2024/11/15,19:22,theoj246,f,f,,,,,,,20:09,theoj246,f,1:21,
2024/11/15,20:35,ryo4ryo4n66,s,s,,,,,,,22:52,theoj246,s,,
2024/11/15,21:22,ryo4ryo4n66,f,f,,,,,,,0:49,theoj246,f,1:57,
2024/11/15,23:42,ryo4ryo4n66,s,s,,,,,,,14:05,theoj246,s,,
2024/11/16,1:34,osaryo523778,s,s,,,,,,,14:57,theoj246,f,0:52,
2024/11/16,2:52,ryo4ryo4n66,f,f,,,,,,,16:22,theoj246,s,,
2024/11/16,4:21,osaryo523778,f,f,,,,,,,17:54,theoj246,f,1:32,
2024/11/16,10:03,ryo4ryo4n66,s,s,,,,,,,23:04,theoj246,s,,
2024/11/16,23:31,osaryo523778,s,s,,,,,,,1:33,theoj246,f,2:29,
2024/11/17,0:43,osaryo523778,f,f,,,,,,,15:00,theoj246,s,,
2024/11/17,20:04,osaryo523778,s,s,,,,,,,16:13,theoj246,f,1:13,
2024/11/17,20:53,theoj246,s,s,,,,,,,18:22,theoj246,s,,
2024/11/17,22:51,osaryo523778,f,f,,,,,,,19:20,theoj246,f,0:58,
2024/11/17,23:43,theoj246,f,f,,,,,,,,,,,
2024/11/18,0:13,theoj246,s,s,,,,,,,,,,,
2024/11/18,0:41,theoj246,f,f,,,,,,,,,,,
2024/11/18,11:10,theoj246,s,s,,,,,,,,,,,
2024/11/18,14:17,theoj246,f,f,,,,,,,,,,,131:45:00
2024/11/18,16:02,theoj246,s,s,,,,,,,,,,,
2024/11/18,19:43,theoj246,f,f,,,,,,,,,,,
2024/11/18,20:27,osaryo523778,s,s,,,,,,,,,,,
2024/11/18,22:05,osaryo523778,f,f,,,,,,,,,,,
2024/11/19,11:30,theoj246,s,s,,,,,,,,,,,
2024/11/19,13:28,theoj246,f,f,,,,,,,18:01,theoj246,s,,
2024/11/19,15:18,theoj246,s,s,,,,,,,20:09,theoj246,f,,2:08
2024/11/19,16:37,theoj246,f,f,,,,,,,18:50,theoj246,s,,
2024/11/19,17:13,theoj246,s,s,,,,,,,19:32,theoj246,f,,0:42
2024/11/19,18:14,theoj246,f,f,,,,,,,19:58,theoj246,s,,
2024/11/19,19:40,theoj246,s,s,,,,,,,20:57,theoj246,f,,0:59
2024/11/19,20:06,osaryo523778,s,s,,,,,,,17:58,theoj246,s,,
2024/11/19,21:03,theoj246,f,f,,,,,,,18:15,theoj246,f,,0:17
2024/11/19,21:16,osaryo523778,f,f,,,,,,,13:22,theoj246,s,,
2024/11/20,10:59,theoj246,s,s,,,,,,,14:58,theoj246,f,,1:36
2024/11/20,13:38,theoj246,f,f,,,,,,,21:06,theoj246,s,,
2024/11/20,18:40,theoj246,s,s,,,,,,,22:13,theoj246,f,,1:07
2024/11/20,19:35,theoj246,f,f,,,,,,,18:22,theoj246,s,,
2024/11/20,21:59,theoj246,s,s,,,,,,,18:52,theoj246,f,,0:30
2024/11/21,0:49,theoj246,f,f,,,,,,,11:18,theoj246,s,,
2024/11/21,14:55,theoj246,s,s,,,,,,,16:17,theoj246,f,,4:59
2024/11/21,16:13,theoj246,f,f,,,,,,,16:47,theoj246,s,,
2024/11/22,11:54,theoj246,s,s,,,,,,,17:48,theoj246,f,,1:01
2024/11/22,18:10,theoj246,f,f,,,,,,,19:41,theoj246,s,,
2024/11/22,23:39,theoj246,s,s,,,,,,,20:33,theoj246,f,,0:52
2024/11/23,2:08,theoj246,f,f,,,,,,,13:56,theoj246,s,,
2024/11/23,12:55,theoj246,s,s,,,,,,,15:45,theoj246,f,,1:49
2024/11/23,14:09,theoj246,f,f,,,,,,,12:53,theoj246,s,,
2024/11/23,16:33,theoj246,s,s,,,,,,,15:44,theoj246,f,,2:51
2024/11/23,18:13,theoj246,f,f,,,,,,,18:35,theoj246,s,,
2024/11/23,19:07,theoj246,s,s,,,,,,,22:10,theoj246,f,,3:35
2024/11/23,19:56,theoj246,f,f,,,,,,,8:32,theoj246,s,,
2024/11/23,23:14,theoj246,s,s,,,,,,,13:04,theoj246,f,,4:32
2024/11/24,1:11,theoj246,f,f,,,,,,,13:10,theoj246,s,,
2024/11/24,12:16,theoj246,s,s,,,,,,,15:15,theoj246,f,,2:05
2024/11/24,13:51,theoj246,f,f,,,,,,,16:01,theoj246,s,,
2024/11/24,14:41,theoj246,s,s,,,,,,,17:52,theoj246,f,,1:51
2024/11/24,18:18,theoj246,f,f,,,,,,,19:08,theoj246,s,,
2024/11/25,17:27,ryo4ryo4n66,s,s,,,,,,,19:23,theoj246,f,,0:15
2024/11/25,19:01,theoj246,s,s,,,,,,,20:34,theoj246,s,,
2024/11/25,19:10,ryo4ryo4n66,f,f,,,,,,,21:36,theoj246,f,,1:02
2024/11/25,20:19,theoj246,f,f,,,,,,,9:46,theoj246,s,,
2024/11/25,22:28,osaryo523778,s,s,,,,,,,12:12,theoj246,f,,2:26
2024/11/26,0:26,osaryo523778,f,f,,,,,,,12:58,theoj246,s,,
2024/11/26,13:24,theoj246,s,s,,,,,,,14:05,theoj246,f,,1:07
2024/11/26,18:04,info,s,s,,,,,,,15:12,theoj246,s,,
2024/11/26,18:10,osaryo523778,s,s,,,,,,,16:22,theoj246,f,,1:10
2024/11/26,19:07,theoj246,f,f 14:00,,,,,,,13:12,theoj246,s,,
2024/11/26,19:44,theoj246,s,s,,,,,,,14:24,theoj246,f,,1:12
2024/11/26,20:57,osaryo523778,f,f,,,,,,,15:02,theoj246,s,,
2024/11/26,21:11,theoj246,f,f,,,,,,,17:21,theoj246,f,,2:19
2024/11/27,13:27,theoj246,s,s,,,,,,,19:15,theoj246,s,,
2024/11/27,14:47,theoj246,f,f,,,,,,,20:34,theoj246,f,,1:19
2024/11/27,17:30,theoj246,s,s,,,,,,,20:35,theoj246,s,,
2024/11/27,18:21,theoj246,f,f,,,,,,,21:14,theoj246,f,,0:39
2024/11/27,18:48,theoj246,s,s,,,,,,,23:28,theoj246,s,,
2024/11/27,20:09,theoj246,f,f,,,,,,,23:59,theoj246,f,,0:31
2024/11/27,22:52,theoj246,s,s,,,,,,,9:01,theoj246,s,,
2024/11/28,0:49,theoj246,f,f,,,,,,,11:00,theoj246,f,,1:59
2024/11/28,14:05,theoj246,s,s,,,,,,,13:36,theoj246,s,,
2024/11/28,14:57,theoj246,f,f,,,,,,,14:51,theoj246,f,,1:15
2024/11/28,16:22,theoj246,s,s,,,,,,,15:54,theoj246,s,,
2024/11/28,17:54,theoj246,f,f,,,,,,,18:08,theoj246,f,,2:14
2024/11/28,23:04,theoj246,s,s,,,,,,,10:00,theoj246,s,,
2024/11/29,1:33,theoj246,f,f,,,,,,,11:56,theoj246,f,,1:56
2024/11/29,15:00,theoj246,s,s,,,,,,,15:57,theoj246,s,,
2024/11/29,16:13,theoj246,f,f,,,,,,,18:02,theoj246,f,,2:05
2024/11/29,18:22,theoj246,s,s,,,,,,,19:13,theoj246,s,,
2024/11/29,19:20,theoj246,f,f,,,,,,,19:57,theoj246,f,,0:44
2024/12/01,11:04,osaryo523778,s,s,,,,,,,23:24,theoj246,s,,
2024/12/01,12:22,osaryo523778,f,f,,,,,,,0:52,theoj246,f,,1:28
2024/12/02,18:01,theoj246,s,s,,,,,,,8:42,theoj246,s,,
2024/12/02,20:09,theoj246,f,f,,,,,,,10:17,theoj246,f,,1:35
2024/12/02,21:45,osaryo523778,s,s,,,,,,,14:15,theoj246,s,,
2024/12/03,1:49,osaryo523778,f,f,,,,,,,19:04,theoj246,f,,4:49
2024/12/03,18:50,theoj246,s,s,,,,,,,19:12,theoj246,s,,
2024/12/03,19:00,ryo4ryo4n66,s,s,,,,,,,22:59,theoj246,s,,
2024/12/03,19:32,theoj246,f,f,,,,,,,0:04,theoj246,f,,1:05
2024/12/03,19:58,theoj246,s,s,,,,,,,13:32,theoj246,s,,
2024/12/03,20:57,theoj246,f,f,,,,,,,15:26,theoj246,f,,1:54
2024/12/03,21:17,ryo4ryo4n66,f,f,,,,,,,23:31,theoj246,s,,
2024/12/04,13:13,ryo4ryo4n66,s,s,,,,,,,8:53,theoj246,f,f -30s,0.5
2024/12/04,15:38,ryo4ryo4n66,f,f,,,,,,,8:53,theoj246,s,,
2024/12/04,17:58,theoj246,s,s,,,,,,,12:32,theoj246,f,,3:39
2024/12/04,18:15,theoj246,f,f,,,,,,,14:12,theoj246,s,,
2024/12/05,13:22,theoj246,s,s,,,,,,,18:14,theoj246,f,,4:02
2024/12/05,14:58,theoj246,f,f,,,,,,,19:46,theoj246,s,,
2024/12/05,17:32,ryo4ryo4n66,s,s,,,,,,22:00,1:03,theoj246,f,f 22:00,2:14
2024/12/05,18:17,ryo4ryo4n66,f,f,,,,,,,9:34,theoj246,s,s,
2024/12/05,21:06,theoj246,s,s,,,,,,11:00,13:06,theoj246,f,f 11:00,1:26
2024/12/05,22:13,theoj246,f,f,,,,,,,13:40,theoj246,s,,
2024/12/06,0:53,ryo4ryo4n66,s,s,,,,,,,16:15,theoj246,f,,2:35
2024/12/06,2:20,ryo4ryo4n66,f,f,,,,,,,18:40,theoj246,s,,
2024/12/06,18:22,theoj246,s,s,,,,,,,19:42,theoj246,f,,1:02
2024/12/06,18:52,theoj246,f,f,,,,,,,9:01,theoj246,s,,
2024/12/07,11:18,theoj246,s,s,,,,,,,9:51,theoj246,f,,0:50
2024/12/07,13:27,osaryo523778,s,s,,,,,,,14:52,theoj246,s,,
2024/12/07,13:35,osaryo523778,f,f,,,,,,,17:30,theoj246,f,,2:38
2024/12/07,16:17,theoj246,f,f,,,,,,,16:29,theoj246,s,,
2024/12/07,16:47,theoj246,s,s,,,,,,,20:47,theoj246,f,,4:18
2024/12/07,17:48,theoj246,f,f,,,,,,,23:35,theoj246,s,,
2024/12/07,19:41,theoj246,s,s,,,,,,,0:34,theoj246,f,,0:59
